customer_id,cycle_start,cycle_end,billing_amount,last_payment_days_ago,plan_tier,tenure_months,monthly_usage_hours,active_days,login_count,avg_session_min,device_count,add_on_count,support_tickets,sla_breaches,promotions_redeemed,email_opens,email_clicks,last_campaign_days_ago,nps_score,region,is_autopay,is_discounted,has_family_bundle,churned_next_cycle
CUST_00000,2023-12-04,2024-01-03,613.43,21.1,standard,11.3,13.91,22.0,12.0,77.64,2.0,2.0,0.0,0.0,1.0,1.0,0.0,36.6,9.0,north,True,False,True,0
CUST_00001,2024-06-05,2024-07-05,597.42,7.4,standard,72.2,18.79,19.0,8.0,8.09,3.0,2.0,2.0,0.0,0.0,6.0,2.0,0.2,8.0,east,False,False,False,0
CUST_00002,2023-01-01,2023-01-31,332.41,10.9,basic,31.6,33.39,19.0,8.0,22.51,4.0,1.0,0.0,1.0,2.0,4.0,1.0,12.4,5.0,west,False,True,False,0
CUST_00003,2023-05-22,2023-06-21,964.4,3.0,premium,21.9,40.44,17.0,7.0,4.73,1.0,1.0,1.0,0.0,0.0,4.0,1.0,14.6,7.0,south,True,True,False,0
CUST_00004,2024-01-17,2024-02-16,536.84,7.1,standard,4.1,27.29,16.0,13.0,10.49,3.0,1.0,1.0,0.0,0.0,4.0,1.0,30.2,10.0,central,True,True,False,0
CUST_00005,2024-08-26,2024-09-25,311.65,5.8,basic,4.1,44.7,22.0,9.0,17.53,1.0,1.0,1.0,0.0,2.0,1.0,0.0,17.6,10.0,central,True,False,False,0
CUST_00006,2023-08-24,2023-09-23,631.22,1.3,standard,1.4,31.81,18.0,9.0,46.62,1.0,0.0,1.0,0.0,0.0,2.0,1.0,39.5,5.0,south,False,False,False,0
CUST_00007,2023-02-02,2023-03-04,294.73,13.1,basic,48.3,6.41,15.0,9.0,35.58,1.0,1.0,0.0,0.0,0.0,3.0,1.0,4.1,5.0,east,True,False,False,0
CUST_00008,2023-01-20,2023-02-19,578.63,2.6,standard,22.1,35.36,16.0,8.0,16.48,1.0,3.0,2.0,0.0,1.0,6.0,1.0,13.7,4.0,south,True,True,True,0
CUST_00009,2024-07-12,2024-08-11,270.3,1.4,basic,29.6,8.38,17.0,13.0,37.94,2.0,3.0,0.0,0.0,1.0,6.0,1.0,28.2,5.0,west,False,True,True,0
CUST_00010,2023-02-12,2023-03-14,961.97,6.8,premium,1.0,39.05,24.0,22.0,95.12,4.0,2.0,0.0,0.0,0.0,6.0,0.0,11.7,5.0,north,True,False,False,1
CUST_00011,2023-05-12,2023-06-11,618.96,5.5,standard,84.1,37.01,21.0,8.0,18.75,2.0,0.0,1.0,0.0,0.0,4.0,1.0,3.6,3.0,east,False,True,False,0
CUST_00012,2024-04-24,2024-05-24,623.54,1.7,standard,42.9,25.39,22.0,12.0,16.17,3.0,0.0,1.0,1.0,2.0,3.0,1.0,26.0,9.0,north,True,False,True,0
CUST_00013,2023-05-15,2023-06-14,326.54,8.7,basic,5.7,21.46,16.0,14.0,39.4,3.0,1.0,0.0,0.0,0.0,5.0,1.0,13.6,6.0,south,True,False,True,0
